,frequency_ranking,word,count,Unnamed: 3
67,68,people,30 421 073,"0,028003732"
97,98,should,20 364 151,"0,018745961"
117,118,before,16 110 780,"0,014830574"
124,125,really,14 905 838,"0,01372138"
139,140,around,13 218 230,"0,012167874"
148,149,little,11 695 673,"0,010766303"
155,156,things,11 137 850,"0,010252806"
159,160,during,10 808 095,"0,009949255"
169,170,online,10 191 169,"0,009381351"
170,171,system,10 112 358,"0,009308803"
171,172,better,10 080 112,"0,009279119"
174,175,always,10 021 039,"0,00922474"
181,182,number,9 200 697,"0,008469585"
186,187,family,8 942 739,"0,008232125"
188,189,within,8 821 032,"0,008120089"
191,192,school,8 755 836,"0,008060074"
204,205,having,8 280 863,"0,007622843"
207,208,health,8 159 671,"0,007511282"
223,224,though,7 607 072,"0,007002594"
228,229,making,7 500 588,"0,006904571"
229,230,course,7 482 521,"0,00688794"
246,247,public,7 148 402,"0,006580371"
253,254,become,7 005 933,"0,006449223"
257,258,person,6 926 168,"0,006375796"
258,259,change,6 915 113,"0,006365619"
260,261,enough,6 877 100,"0,006330627"
265,266,market,6 820 644,"0,006278657"
274,275,second,6 629 530,"0,00610273"
278,279,others,6 446 289,"0,005934049"
286,287,called,6 230 129,"0,005735066"
290,291,social,6 152 475,"0,005663583"
308,309,design,5 743 688,"0,005287279"
328,329,simply,5 454 708,"0,005021262"
341,342,energy,5 321 630,"0,004898759"
345,346,create,5 231 117,"0,004815438"
348,349,credit,5 223 410,"0,004808344"
349,350,almost,5 207 417,"0,004793622"
356,357,states,5 137 104,"0,004728896"
360,361,taking,5 097 243,"0,004692202"
366,367,future,5 074 920,"0,004671653"
369,370,across,5 022 474,"0,004623375"
370,371,rather,5 020 839,"0,00462187"
375,376,months,4 972 707,"0,004577562"
383,384,please,4 907 791,"0,004517805"
386,387,either,4 890 450,"0,004501842"
409,410,office,4 646 109,"0,004276917"
423,424,center,4 536 712,"0,004176213"
439,440,issues,4 433 806,"0,004081484"
440,441,inside,4 432 348,"0,004080142"
445,446,access,4 388 944,"0,004040187"
446,447,reason,4 385 799,"0,004037292"
449,450,simple,4 367 494,"0,004020441"
451,452,amount,4 308 595,"0,003966222"
452,453,search,4 279 327,"0,00393928"
453,454,result,4 268 533,"0,003929344"
460,461,trying,4 209 012,"0,003874553"
462,463,living,4 201 005,"0,003867182"
463,464,likely,4 200 772,"0,003866967"
467,468,common,4 157 919,"0,00382752"
471,472,report,4 128 213,"0,003800174"
474,475,single,4 106 245,"0,003779952"
481,482,season,4 058 873,"0,003736344"
483,484,coming,4 049 900,"0,003728084"
497,498,matter,3 947 737,"0,003634039"
499,500,needed,3 937 584,"0,003624693"
